INFO:m = 5.6937633347840215, b = 4.244787460469081, mse = 6.961968906041605, prev_mse = 7.00304555166525, mse_inc = False, iteration 180
INFO:m = 5.691725694038227, b = 4.258753916088244, mse = 6.921133197136598, prev_mse = 6.961968906041605, mse_inc = False, iteration 181
INFO:m = 5.689694038013158, b = 4.2726793510630205, mse = 6.880537011726202, prev_mse = 6.921133197136598, mse_inc = False, iteration 182
INFO:m = 5.687668349131193, b = 4.286563885874464, mse = 6.840178944875726, prev_mse = 6.880537011726202, mse_inc = False, iteration 183
INFO:m = 5.685648609866333, b = 4.300407640649762, mse = 6.800057599891168, prev_mse = 6.840178944875726, mse_inc = False, iteration 184
INFO:m = 5.683634802744058, b = 4.314210735163282, mse = 6.760171588270876, prev_mse = 6.800057599891168, mse_inc = False, iteration 185
INFO:m = 5.681626910341171, b = 4.327973288837602, mse = 6.72051952965755, prev_mse = 6.760171588270876, mse_inc = False, iteration 186
INFO:m = 5.679624915285647, b = 4.341695420744545, mse = 6.681100051790402, prev_mse = 6.72051952965755, mse_inc = False, iteration 187
INFO:m = 5.677628800256485, b = 4.355377249606211, mse = 6.641911790457691, prev_mse = 6.681100051790402, mse_inc = False, iteration 188
INFO:m = 5.675638547983559, b = 4.369018893796005, mse = 6.602953389449542, prev_mse = 6.641911790457691, mse_inc = False, iteration 189
INFO:m = 5.673654141247464, b = 4.382620471339657, mse = 6.564223500510955, prev_mse = 6.602953389449542, mse_inc = False, iteration 190
INFO:m = 5.671675562879372, b = 4.396182099916248, mse = 6.525720783295191, prev_mse = 6.564223500510955, mse_inc = False, iteration 191
INFO:m = 5.669702795760879, b = 4.409703896859224, mse = 6.487443905317356, prev_mse = 6.525720783295191, mse_inc = False, iteration 192
INFO:m = 5.667735822823862, b = 4.423185979157411, mse = 6.4493915419083265, prev_mse = 6.487443905317356, mse_inc = False, iteration 193
INFO:m = 5.665774627050325, b = 4.436628463456034, mse = 6.411562376168836, prev_mse = 6.4493915419083265, mse_inc = False, iteration 194
INFO:m = 5.6638191914722595, b = 4.450031466057718, mse = 6.373955098923989, prev_mse = 6.411562376168836, mse_inc = False, iteration 195
INFO:m = 5.66186949917149, b = 4.4633951029234975, mse = 6.336568408677881, prev_mse = 6.373955098923989, mse_inc = False, iteration 196
INFO:m = 5.659925533279533, b = 4.476719489673821, mse = 6.299401011568583, prev_mse = 6.336568408677881, mse_inc = False, iteration 197
INFO:m = 5.6579872769774475, b = 4.490004741589548, mse = 6.262451621323374, prev_mse = 6.299401011568583, mse_inc = False, iteration 198
INFO:m = 5.656054713495693, b = 4.503250973612952, mse = 6.225718959214223, prev_mse = 6.262451621323374, mse_inc = False, iteration 199
INFO:m = 5.654127826113981, b = 4.516458300348707, mse = 6.18920175401351, prev_mse = 6.225718959214223, mse_inc = False, iteration 200
INFO:m = 5.652206598161133, b = 4.529626836064888, mse = 6.152898741950087, prev_mse = 6.18920175401351, mse_inc = False, iteration 201
INFO:m = 5.650291013014934, b = 4.542756694693952, mse = 6.116808666665457, prev_mse = 6.152898741950087, mse_inc = False, iteration 202
INFO:m = 5.648381054101992, b = 4.555847989833729, mse = 6.080930279170398, prev_mse = 6.116808666665457, mse_inc = False, iteration 203
INFO:m = 5.646476704897589, b = 4.5689008347484, mse = 6.045262337801635, prev_mse = 6.080930279170398, mse_inc = False, iteration 204
INFO:m = 5.644577948925545, b = 4.581915342369483, mse = 6.009803608178945, prev_mse = 6.045262337801635, mse_inc = False, iteration 205
INFO:m = 5.64268476975807, b = 4.594891625296805, mse = 5.974552863162423, prev_mse = 6.009803608178945, mse_inc = False, iteration 206
